6.498499999999999936e-03 5.258079999999999699e-02
6.781043478260869763e-03 5.627830000000000332e-02
7.063586956521738722e-03 5.997580000000000272e-02
7.346130434782608548e-03 6.376980000000000148e-02
7.628673913043478375e-03 6.917850000000000388e-02
7.911217391304348201e-03 7.458710000000000340e-02
8.193760869565216293e-03 7.999570000000000292e-02
8.476304347826087854e-03 8.666690000000000504e-02
8.758847826086955946e-03 9.382680000000000187e-02
9.041391304347825772e-03 1.009869999999999934e-01
9.323934782608695598e-03 1.081460000000000060e-01
9.606478260869565425e-03 1.157180000000000014e-01
9.889021739130435251e-03 1.236109999999999987e-01
1.017156521739130334e-02 1.315040000000000098e-01
1.045410869565217490e-02 1.393969999999999931e-01
1.073665217391304300e-02 1.483609999999999929e-01
1.101919565217391282e-02 1.580159999999999898e-01
1.130173913043478265e-02 1.676719999999999877e-01
1.158428260869565074e-02 1.773270000000000124e-01
1.186682608695652230e-02 1.881410000000000027e-01
1.214936956521739039e-02 2.005170000000000008e-01
1.243191304347826022e-02 2.128919999999999979e-01
1.271445652173913005e-02 2.232460000000000000e-01
1.299699999999999987e-02 2.330569999999999864e-01
1.327954347826086970e-02 2.428690000000000015e-01
1.356208695652173779e-02 2.553219999999999934e-01
1.384463043478260935e-02 2.743380000000000263e-01
1.412717391304347744e-02 2.924880000000000257e-01
1.440971739130434900e-02 3.092840000000000034e-01
1.469226086956521710e-02 3.273559999999999803e-01
1.497480434782608519e-02 3.462210000000000010e-01
1.525734782608695675e-02 3.662380000000000080e-01
1.553989130434782484e-02 3.867039999999999922e-01
1.582243478260869640e-02 4.093350000000000044e-01
1.610497826086956449e-02 4.328099999999999725e-01
1.638752173913043605e-02 4.636680000000000246e-01
1.667006521739130415e-02 5.015579999999999483e-01
1.695260869565217224e-02 5.404440000000000355e-01
1.723515217391304380e-02 5.795829999999999593e-01
1.751769565217391189e-02 6.149620000000000086e-01
1.780023913043478345e-02 6.487990000000000146e-01
1.808278260869565154e-02 6.834489999999999732e-01
1.836532608695651964e-02 7.100899999999999990e-01
1.864786956521739120e-02 7.329320000000000279e-01
1.893041304347825929e-02 7.541409999999999503e-01
1.921295652173913085e-02 7.697140000000000093e-01
1.949549999999999894e-02 7.889429999999999499e-01
1.977804347826087050e-02 8.134099999999999664e-01
2.006058695652173859e-02 8.355470000000000397e-01
2.034313043478260669e-02 8.516810000000000214e-01
2.062567391304347825e-02 8.666289999999999827e-01
2.090821739130434634e-02 8.777970000000000494e-01
2.119076086956521790e-02 8.889660000000000339e-01
2.147330434782608599e-02 9.018650000000000277e-01
2.175584782608695755e-02 9.173940000000000428e-01
2.203839130434782564e-02 9.308140000000000303e-01
2.232093478260869721e-02 9.403920000000000057e-01
2.260347826086956530e-02 9.500170000000000003e-01
2.288602173913043339e-02 9.536430000000000184e-01
2.316856521739130495e-02 9.572690000000000365e-01
2.345110869565217304e-02 9.608790000000000386e-01
2.373365217391304460e-02 9.712229999999999475e-01
2.401619565217391269e-02 9.841509999999999980e-01
2.429873913043478426e-02 9.856500000000000261e-01
2.458128260869565235e-02 9.827700000000000324e-01
2.486382608695652044e-02 9.685009999999999453e-01
2.514636956521739200e-02 9.485740000000000283e-01
2.542891304347826009e-02 9.171650000000000080e-01
2.571145652173913165e-02 8.769510000000000360e-01
2.599399999999999974e-02 8.267149999999999777e-01
2.627654347826087131e-02 7.834649999999999670e-01
2.655908695652173940e-02 7.549109999999999987e-01
2.684163043478260749e-02 7.294279999999999653e-01
2.712417391304347905e-02 7.058290000000000397e-01
2.740671739130434714e-02 6.796320000000000139e-01
2.768926086956521870e-02 6.534349999999999881e-01
2.797180434782608680e-02 6.272379999999999622e-01
2.825434782608695489e-02 5.998130000000000406e-01
2.853689130434782645e-02 5.785299999999999887e-01
2.881943478260869454e-02 5.608459999999999557e-01
2.910197826086956610e-02 5.436889999999999779e-01
2.938452173913043419e-02 5.265320000000000000e-01
2.966706521739130575e-02 5.185189999999999522e-01
